epoch,dice score
0,0.8064624213460666
1,0.8476624942537564
2,0.9134089252842006
3,0.9314948151360697
4,0.9311179954614213
5,0.926159165688415
6,0.886595829209285
7,0.9459110098098641
8,0.9471837344454296
9,0.9533247431712364
10,0.946437069729193
11,0.9487476615763423
12,0.934173591990969
13,0.9297734979373306
14,0.9054440331103196
15,0.9450411814362255
16,0.951137314981489
17,0.9279534807845727
18,0.9070388665839807
19,0.948780720803275
20,0.9495367140912297
21,0.9462153226581972
22,0.9562640955199057
23,0.9502493659062172
24,0.9487743920354701
25,0.9351543250368602
26,0.9420476724852377
27,0.948664087857773
28,0.9522375482231823
29,0.9486353566397482
